ticker,name,country,category
NX,Quanex Building Products Corporation Common Stock,United States,Broad US equity universe
NXB,NextBoat Inc. Common Stcok,United States,Broad US equity universe
NXDR,"Nextdoor Holdings, Inc. Class A Common Stock",United States,Broad US equity universe
NXDT,NexPoint Diversified Real Estate Trust Common Stock,United States,Broad US equity universe
NXE,Nexgen Energy Ltd. Common Shares,United States,Broad US equity universe
NXG,NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,United States,Broad US equity universe
NXGL,"NexGel, Inc - Common Stock",United States,Broad US equity universe
NXL,"Nexalin Technology, Inc. - Common Stock",United States,Broad US equity universe
NXP,Nuveen Select Tax Free Income Portfolio Common Stock,United States,Broad US equity universe
NXPI,NXP Semiconductors N.V. - Common Stock,United States,Broad US equity universe
NXPL,NextPlat Corp - Common Stock,United States,Broad US equity universe
NXRT,"NexPoint Residential Trust, Inc. Common Stock",United States,Broad US equity universe
NXST,"Nexstar Media Group, Inc. - Common Stock",United States,Broad US equity universe
NXT,Nextpower Inc. - Class A Common Stock,United States,Broad US equity universe
NXTC,"NextCure, Inc. - Common Stock",United States,Broad US equity universe
NXTS,Nexentis Technologies Inc. - Common Stock,United States,Broad US equity universe
